coda_paper_id,paper_id,coda_data_split,subset,paragraph_num,sentence_num,segment_num,token_num,coda_has_expert_labels,title
1,006be5ba67759a525ae8e211f43bd8e4429a64f0,test,custom_license,1,9,16,235,FALSE,Human astroviruses: in silico analysis of the untranslated region and putative binding sites of cellular proteins
2,6a0da82f10bac49659556d074a71136e794ae45d,test,custom_license,2,8,13,204,TRUE,Public health in practice: the three domains of public health
3,1b822763c007bb77798727490e95ee2bec342494,test,custom_license,1,10,15,322,FALSE,Preparedness of institutions around the world for managing patients with Ebola virus disease: an infection control readiness checklist Preparedness of institutions around the world for managing patients with Ebola virus disease: an infection control readiness checklist
4,97ebcdaaa4b9dd8f174eb3aa4137231b5af413fb,test,custom_license,1,3,4,73,FALSE,"Effect of the Ebola-virus-disease epidemic on malaria case management in Guinea, 2014: a cross-sectional survey of health facilities"
5,83303635687128ac583152565ba1d7e29540f2af,test,noncomm_use_subset,2,6,10,213,FALSE,Health care-associated infections -an overview
6,525511c3e146527c02bc25aed2833f0ef103d62a,test,comm_use_subset,2,12,13,280,FALSE,IFN??3/4 locus polymorphisms and IFN??3 circulating levels are associated with COPD severity and outcomes
7,78bd3748cb2fbedfe782af342c3d2feb470ab0c4,test,custom_license,3,4,6,81,TRUE,First-in-human clinical trials with vaccines-what regulators want
8,b2b5a490834c8b80177d322022e6c5c0828a5eaa,test,comm_use_subset,1,7,16,186,FALSE,"Article ID 128318, 37 pages Polygenic Pathways, 20 Upper Maze Hill"
9,a59dbafccfef3ecd0d6a227b5d2162be654da5aa,test,custom_license,2,7,8,157,FALSE,"Assembly and immunogenicity of baculovirus-derived infectious bronchitis virus-like particles carrying membrane, envelope and the recombinant spike proteins"
10,b3a334560f9a7a4b35a60415c87d41d658a89ebb,test,biorxiv_medrxiv,1,12,18,258,FALSE,A deductive approach to modeling the spread of COVID-19
11,4a5e7d2f1256d0aed03adae0c98c5bb522e28748,test,comm_use_subset,1,7,8,157,FALSE,molecules In Vitro Evaluation of Novel Inhibitors against the NS2B-NS3 Protease of Dengue Fever Virus Type 4
12,995ca8595ff8456bc1931d8588f486a9f94e8e00,test,custom_license,1,7,13,221,FALSE,Current strategies for protein production and purification enabling membrane protein structural biology
13,7a542b17a85a44c1136d5a6b5c86182a8e797ef5,test,custom_license,2,11,21,234,TRUE,Effect of Soy Protein on Calves' Intestinal Absorptive Ability and Morphology Determined by Scanning Electron Microscopy
14,d4718ccc1c08a82371c1d7525aae8cc567ff2424,test,comm_use_subset,1,8,8,157,FALSE,Chinese Social Media Reaction to Information about 42 Notifiable Infectious Diseases
15,2a080098ded8d0e968bac0ca8715dec8bbf109d3,test,custom_license,1,4,5,124,FALSE,The ubiquitous role of ubiquitin in the DNA damage response
16,d8271398b9073fbb1ad449e72697e6ae8f71d3d8,test,comm_use_subset,1,7,12,176,FALSE,Passive Broad-Spectrum Influenza Immunoprophylaxis
17,cd4c984e7afa08f850f9173578fbae31d92a64a5,test,comm_use_subset,1,9,12,266,FALSE,Genetic Diversity and Phylodynamics of Avian Coronaviruses in Egyptian Wild Birds
18,407207cc711d3067f35c04426fa4055ccb37ccfb,test,comm_use_subset,1,14,20,387,FALSE,"Tropical Medicine and Infectious Disease Using Google Trends to Examine the Spatio-Temporal Incidence and Behavioral Patterns of Dengue Disease: A Case Study in Metropolitan Manila, Philippines"
19,5b45de2f44dbed76d9997f1088e62c4dfcd82a72,test,custom_license,1,8,16,177,FALSE,A recombinant receptor-binding domain of MERS-CoV in trimeric form protects human dipeptidyl peptidase 4 (hDPP4) transgenic mice from MERS-CoV infection
20,83215814219b9cd6f2f5a6e7bca32e5b7599c138,test,custom_license,1,5,6,174,FALSE,Chapter 28 The Silver Lining in Gain-of-Function Experiments with Pathogens of Pandemic Potential
21,ccfde92cc14959cab65169629c83390d9b9c7794,test,custom_license,1,3,6,80,TRUE,CURRENT OPINION Antimicrobial Agents are Societal Drugs How Should This Influence Prescribing?
22,d421a83b46ac36aadca9b259deadf3094ac889e6,test,custom_license,1,12,19,276,TRUE,Challenges in food waste recycling in high-rise buildings and public design for sustainability: A case in Hong Kong
23,85bab4f8869727adbe47f5ddc6e18af508dc57a0,test,comm_use_subset,1,10,17,267,FALSE,eIF2??-CHOP-BCl-2/JNK and IRE1??-XBP1/JNK signaling promote apoptosis and inflammation and support the proliferation of Newcastle disease virus
24,d443900c4eef6494eeaf138236a955c0a040f3bd,test,noncomm_use_subset,1,8,13,282,FALSE,Clinical usefulness of serum procalcitonin level in distinguishing between Kawasaki disease and other infections in febrile children
25,5e5523ab9299981aa6dc40d0ee209a73cbdb5ab8,test,custom_license,1,9,10,124,FALSE,Insuffisance Respiratoire Aigu?? chez le patient immunod??prim?? : Quelle approche diagnostique ?
26,113f9670b9a495a6352bc03bf2d923e60fa41b7d,test,custom_license,1,4,7,92,TRUE,A cross-species view on viruses
27,451b3ca0a07f23d78733b732f27d62a44e5a376e,test,custom_license,1,8,11,221,FALSE,Clinician perceptions of respiratory infection risk; a rationale for research into mask use in routine practice ScienceDirect
28,efc50ae4c08699212311dc5f0f5cd335b88f1415,test,custom_license,6,19,32,440,FALSE,The Relationship of Rhinovirus-Associated Asthma Hospitalizations with Inhaled Corticosteroids and Smoking
29,c1e2ffff403bab75c973812b3bf2e8d5a2f07600,test,comm_use_subset,1,5,8,118,FALSE,Human core duplicon gene families: game changers or game players?
30,0957f96f8188f65cc145464dc7882abd259e0f5f,test,custom_license,1,7,13,175,FALSE,"Burden, seasonal pattern and symptomatology of acute respiratory illnesses with different viral aetiologies in children presenting at outpatient clinics in Hong Kong"
31,e4d752fd72eb7b1089e4b820598b1f69f50bc636,test,biorxiv_medrxiv,3,14,20,370,FALSE,"Nowcasting by Bayesian Smoothing: A flexible, generalizable model for real-time epidemic tracking"
32,8df049d1dd965c6ffa5c9bd7f65e655dabd4fa27,test,custom_license,1,14,20,299,FALSE,"Human respiratory syncytial virus in children with lower respiratory tract infections or influenza-like illness and its co-infection characteristics with viruses and atypical bacteria in Hangzhou, China"
33,2615a358ae189a9a390c553b3f1f8e8e03401405,test,custom_license,1,9,11,169,FALSE,News Timeline Generation: Accounting for Structural Aspects and Temporal Nature of News Stream
